[2025-10-15 17:31:50] [WARNING ] discord.ext.commands.bot: Privileged message content intent is missing, commands may not work as expected.
[2025-10-15 17:31:50] [INFO    ] discord.client: logging in using static token
[2025-10-15 17:31:51] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-15 17:31:51] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-15 17:31:51] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1427678602190786600', 'username': 'DawnDusk', 'avatar': 'a940bc538aca406e488f33eb34ef6d03', 'discriminator': '9041', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-15 17:31:51] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-15 17:31:51] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-15 17:31:51] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1427678602190786600', 'name': 'DawnDusk', 'icon': 'a940bc538aca406e488f33eb34ef6d03', 'description': 'When Dawn Reaches Dusk', 'type': None, 'bot': {'id': '1427678602190786600', 'username': 'DawnDusk', 'avatar': 'a940bc538aca406e488f33eb34ef6d03', 'discriminator': '9041', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b4be3720be9f78ece0a6519134a644666bfb95cf2ed0aa51b039869dbbb7edf1', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1326234864613068813', 'username': 'terrascourge', 'avatar': 'b8d8bb17135abc09cd70f1666112e946', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Onyx', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '920707638034067486', 'identity_enabled': True, 'tag': 'DEEP', 'badge': '5f9b68b3a90cc7a0cfbfac1ed570e4cc'}, 'primary_guild': {'identity_guild_id': '920707638034067486', 'identity_enabled': True, 'tag': 'DEEP', 'badge': '5f9b68b3a90cc7a0cfbfac1ed570e4cc'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-15 17:31:51] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-15 17:31:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-bzvc",{"micros":0.0}]']}}
[2025-10-15 17:31:51] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-15 17:31:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-15 17:31:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'DawnDusk', 'primary_guild': None, 'mfa_enabled': False, 'id': '1427678602190786600', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9041', 'clan': None, 'bot': True, 'avatar': 'a940bc538aca406e488f33eb34ef6d03'}, 'session_type': 'normal', 'session_id': '2bdf062034b2cba2156a0e2034f9c002', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1423738702370312318'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['rotterdam', 'frankfurt', 'london', 'paris', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1427678602190786600', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-bzvc",{"micros":119347,"calls":["id_created",{"micros":584,"calls":[]},"session_lookup_time",{"micros":254,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-18",{"micros":118225,"calls":["start_session",{"micros":102500,"calls":["discord-api-rpc-745c8d4f98-5ssw2",{"micros":53892,"calls":["get_user",{"micros":4724},"get_guilds",{"micros":2872},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":40203},"apex_experiments",{"micros":230},"user_activities",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":4739,"calls":[]},"guilds_started",{"micros":56,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10840,"calls":[]},"connect_finished",{"micros":10847,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":36,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-10-15 17:31:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-15 17:31:51] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2bdf062034b2cba2156a0e2034f9c002).
[2025-10-15 17:31:51] [DEBUG   ] discord.client: Dispatching event connect
